ticket,t,stat,width
2,60,0.85,0.06
2,120,1.04,0.04
2,180,1.17,0.04
2,240,1.24,0.03
2,300,1.29,0.03
2,360,1.32,0.03
2,420,1.35,0.03
2,480,1.36,0.03
2,540,1.37,0.02
2,600,1.39,0.02
2,660,1.39,0.02
2,720,1.40,0.02
2,780,1.40,0.02
2,840,1.41,0.02
2,900,1.42,0.02
2,960,1.42,0.02
