ticket,M,stat,width
0,3,4.38,0.06
1,3,7.50,0.16
2,3,7.14,0.14
3,3,12.60,0.26
4,3,9.14,0.15
5,3,15.12,0.23
0,4,1.07,0.02
1,4,1.45,0.04
2,4,1.35,0.03
3,4,2.13,0.05
4,4,6.42,0.13
5,4,10.05,0.18
0,2,22.15,0.26
1,2,79.94,1.29
2,2,58.97,0.75
3,2,89.82,1.04
4,2,11.62,0.16
5,2,19.85,0.24
